slice_file_name,fsID,start,end,salience,classID,class
100032-3-0-0.wav,100032,0,0.317551,1,3,dog_bark
100263-2-0-117.wav,100263,58.5,62.5,1,2,children_playing
100263-2-0-121.wav,100263,60.5,64.5,1,2,children_playing
100263-2-0-126.wav,100263,63,67,1,2,children_playing
100263-2-0-137.wav,100263,68.5,72.5,1,2,children_playing
100263-2-0-143.wav,100263,71.5,75.5,1,2,children_playing
100263-2-0-161.wav,100263,80.5,84.5,1,2,children_playing
100263-2-0-3.wav,100263,1.5,5.5,1,2,children_playing
100263-2-0-36.wav,100263,18,22,1,2,children_playing
100648-1-0-0.wav,100648,4.823402,5.471927,2,1,car_horn
100648-1-1-0.wav,100648,8.998279,10.052132,2,1,car_horn
100648-1-2-0.wav,100648,16.699509,17.104837,2,1,car_horn
100648-1-3-0.wav,100648,17.631764,19.253075,2,1,car_horn
100648-1-4-0.wav,100648,25.332994,27.197502,2,1,car_horn
100652-3-0-0.wav,100652,0,4,1,3,dog_bark
100652-3-0-1.wav,100652,0.5,4.5,1,3,dog_bark
100652-3-0-2.wav,100652,1,5,1,3,dog_bark
100652-3-0-3.wav,100652,1.5,5.5,1,3,dog_bark
100795-3-0-0.wav,100795,0.19179,4.19179,1,3,dog_bark
100795-3-1-0.wav,100795,13.059155,17.059155,1,3,dog_bark
100795-3-1-1.wav,100795,13.559155,17.559155,1,3,dog_bark
100795-3-1-2.wav,100795,14.059155,18.059155,1,3,dog_bark
100852-0-0-0.wav,100852,0,4,1,0,air_conditioner
100852-0-0-1.wav,100852,0.5,4.5,1,0,air_conditioner
100852-0-0-10.wav,100852,5,9,1,0,air_conditioner
100852-0-0-11.wav,100852,5.5,9.5,1,0,air_conditioner
100852-0-0-12.wav,100852,6,10,1,0,air_conditioner
100852-0-0-13.wav,100852,6.5,10.5,1,0,air_conditioner
100852-0-0-14.wav,100852,7,11,1,0,air_conditioner
